"Name_REPHY";"Phylum";"Subphylum";"Infraphylum";"Class";"Subclass";"Order";"Family";"Genus"
"Diplopsalis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Diplopsalis"
"Eutreptia";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";"Eutreptiaceae";"Eutreptia"
"Gyrosigma lineare";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Pleurosigmataceae";"Gyrosigma"
"Heterocapsa minima";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Heterocapsa"
"Leptocylindrus danicus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";"Leptocylindrus"
"Nanoflagellés";NA;NA;NA;NA;NA;NA;NA;NA
"Oxytoxum tesselatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Oxytoxaceae";"Oxytoxum"
"Protoperidinium conicum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Gonyaulax";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Gonyaulax"
"Ostreopsis lenticularis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ostreopsidaceae";"Ostreopsis"
"Oxytoxum scolopax";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Oxytoxaceae";"Oxytoxum"
"Proboscia indica";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Proboscia"
"Prorocentrum dentatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Pseudo-nitzschia seriata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Thalassiothrix longissima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Thalassionematales";"Thalassionemataceae";"Thalassiothrix"
"Warnowia polyphemus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Warnowiaceae";"Warnowia"
"Prymnesiophyceae";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;NA;NA;NA
"Pseudo-nitzschia turgidula";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Stichosiphon";"Cyanobacteria";NA;NA;"Cyanophyceae";"Oscillatoriophycideae";"Chroococcales";"Stichosiphonaceae";"Stichosiphon"
"Synechocystis";"Cyanobacteria";NA;NA;"Cyanophyceae";"Synechococcophycideae";"Synechococcales";"Merismopediaceae";"Synechocystis"
"Torodinium teredo";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Torodinium"
"Tripos extensus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Tripos"
"Bacteriastrum delicatulum";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Bacteriastrum"
"Chaetoceros curvisetus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros eibenii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Alexandrium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Prorocentrum maximum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Blepharocysta";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Podolampadaceae";"Blepharocysta"
"Dinophysis acuminata";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Chaetoceros saltans";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros aequatorialis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros tetrastichon";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Nitzschia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Nitzschia"
"Podolampas";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Podolampadaceae";"Podolampas"
"Amphidinium crassum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Amphidinium"
"Chaetoceros wighamii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Guinardia cylindrus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Guinardia"
"Hemiaulus membranaceus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Hemiaulus"
"Podolampas spinifera";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Podolampadaceae";"Podolampas"
"Prorocentrum lima";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Protoperidinium cassum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Dictyocha";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";NA;"Dictyochales";"Dictyochaceae";"Dictyocha"
"Euglena";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Euglenida";"Euglenaceae";"Euglena"
"Leptocylindrus mediterraneus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";"Leptocylindrus"
"Prorocentrum cordatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Heterocapsa niei";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Heterocapsa"
"Heterocapsa triquetra";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Heterocapsa"
"Leptocylindrus minimus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";"Leptocylindrus"
"Thalassionema bacillare";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Thalassionematales";"Thalassionemataceae";"Thalassionema"
"Bacillaria paxillifera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Bacillaria"
"Bacteriastrum hyalinum";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Bacteriastrum"
"Chaetoceros neglectus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros socialis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Cocconeis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Achnanthales";"Cocconeidaceae";"Cocconeis"
"Eucampia cornuta";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Eucampia"
"Manguinea fusiformis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Plagiotropidaceae";"Manguinea"
"Melosira";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Melosiraceae";"Melosira"
"Asteroplanus karianus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Asteroplanus"
"Peridiniella catenata";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Cladopyxidaceae";"Peridiniella"
"Protoperidinium steinii";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
