"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1996-11-25";NA;NA;NA;"6800";NA;NA;NA;"8400";"200";NA;NA;NA;"35100"
"1996-12-10";"900";"400";"15200";"1100";NA;NA;"400";"1800";"100";"5400";NA;NA;"4200"
"1996-12-18";"200";NA;"14000";"17400";NA;NA;NA;"200";NA;"19800";NA;"300";"10800"
"1997-01-02";"100";NA;"700";NA;NA;NA;"300";"1500";NA;"29400";NA;NA;"18300"
"1997-01-13";NA;NA;"1000";"800";NA;"100";NA;"2100";NA;"900";NA;"400";"2900"
"1997-01-27";NA;NA;"8100";"200";NA;NA;NA;"1400";NA;"1500";NA;"6200";"3400"
"1997-02-10";"500";"8300";"117000";NA;NA;NA;NA;"3300";NA;"800";NA;"363000";"78300"
"1997-02-24";NA;"2000";"348000";"2000";NA;NA;NA;"6300";"6400";"800";NA;"6400";"27400"
"1997-03-10";NA;"4300";"3800";"500";NA;NA;NA;"12900";"2700";"3800";NA;"1800";"14200"
"1997-03-24";NA;"13400";"4100";"600";NA;"400";"4800";"10200";"200";"13300";NA;"1700";"7200"
"1997-04-07";NA;"3000";"27500";"300";NA;"100";NA;"4900";"300";"3200";NA;NA;"74700"
"1997-04-21";"1300";"19500";"95600";"1000";"200";"300";"500";"11200";NA;"3200";"500";"300";"57000"
"1997-05-05";NA;"262000";"39300";"1400";NA;"1600";NA;"44200";"400";"48400";"100";"14100";"129100"
"1997-05-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;"83900";NA;NA;"49400"
"1997-05-20";NA;"191000";"21400";"900";NA;NA;"1200";"23000";"700";"179000";NA;"1600";"47400"
"1997-06-02";NA;"6400";"52200";"9200";NA;"1000";"900";"2700";"600";"14600";NA;"315000";"18000"
"1997-06-17";"200";"142000";"107000";"5300";NA;"2100";"13000";"900";"4700";"16000";"600";"2740000";"275600"
"1997-06-30";NA;"40800";"1000";"2000";NA;NA;"400";"1100";"100";"7900";NA;"122000";"27700"
"1997-07-15";NA;"7900";"1000";"200";NA;"100";NA;"2100";"100";"55400";NA;"174000";"12200"
"1997-07-28";NA;"3700";"6500";"800";NA;"700";"1300";"700";"4900";"36600";NA;"11600000";"13600"
"1997-08-12";NA;"1800";"1100";"200";NA;"100";NA;"49300";NA;NA;NA;NA;"156200"
"1997-08-25";NA;"1690000";NA;"9700";"2600";"2500";"268000";"31600";"10500";"218000";"4900";"20000";"4847900"
"1997-09-08";NA;NA;"10800";NA;NA;"1200";NA;"12600";"600";NA;NA;NA;"6900"
"1997-09-23";NA;"106600";"1000";"800";NA;NA;"53600";"44800";"600";"21800";"400";"1340000";"43700"
"1997-10-06";NA;NA;"5600";"2100";NA;NA;NA;"1100";"900";NA;NA;NA;"22400"
"1997-10-22";NA;"1300";"14700";"5600";NA;NA;"300";"2500";"300";"3900";NA;"1800";"6400"
"1997-11-03";NA;"2600";"12100";"100";NA;NA;"4000";"13400";"400";"1500";NA;"3900";"25400"
