"Date";"SALI";"TEMP";"TURB";"OXYGENE";"SVSOUMOY";"SVSOURIS";"PHEO";"CHLOROA"
"1995-06-27";"34.9";"17.5";"1.1";NA;NA;NA;NA;NA
"1995-07-04";"35.5";"22";"2";NA;NA;NA;NA;NA
"1995-07-11";"31.4";"26";"2.5";NA;"900";"900";NA;NA
"1995-07-18";"36.5";"23.5";"2.1";NA;NA;NA;NA;NA
"1995-07-24";"35.3";"25";"2.1";NA;NA;NA;NA;NA
"1995-07-31";"34.6";"23";"1.5";NA;NA;NA;NA;NA
"1995-08-07";"35.7";"27";"3.2";NA;NA;NA;NA;NA
"1995-08-16";"36.2";"24";"0.9";NA;NA;NA;NA;NA
"1995-08-21";"36.3";"24";"1.9";NA;NA;NA;NA;NA
"1995-08-29";"36.6";"19";"3.5";NA;NA;NA;NA;NA
"1995-09-05";"37.3";"17";"4";NA;NA;NA;NA;NA
"1995-09-11";"35.9";"17.8";"1.4";NA;NA;NA;NA;NA
"1995-09-19";"24.5";"18";"3.4";NA;NA;NA;NA;NA
"1995-09-25";"34.5";"17";"3.2";NA;NA;NA;NA;NA
"1995-10-05";"27.9";"16.5";"1.4";NA;NA;NA;NA;NA
"1995-10-16";"24.7";NA;"1.3";NA;NA;NA;NA;NA
"1995-10-23";"29.6";"18.2";"2.6";NA;NA;NA;NA;NA
"1995-10-30";"31.3";"19";"1.4";NA;NA;NA;NA;NA
"1995-11-14";"33.9";"16";"2.5";NA;NA;NA;NA;NA
"1995-11-20";"34.2";NA;"3.9";NA;NA;NA;NA;NA
"1995-11-28";NA;"11";NA;NA;NA;NA;NA;NA
"1995-12-14";"34.5";"9";"9";NA;NA;NA;NA;NA
"1996-01-09";"27.1";"12";"63";NA;NA;NA;NA;NA
"1996-01-25";"22";"12";"26";NA;NA;NA;NA;NA
"1996-02-06";"28.2";NA;"1.1";NA;NA;NA;NA;NA
"1996-03-06";"32.6";"8.5";"1.6";NA;NA;NA;NA;NA
"1996-03-18";"33.1";"13.4";"0.8";NA;NA;NA;NA;NA
"1996-03-26";"27.7";"14";"1";NA;NA;NA;NA;NA
"1996-04-10";"31";"20";"2.1";NA;NA;NA;NA;NA
"1996-04-22";NA;"15";NA;NA;NA;NA;NA;NA
"1996-05-06";"26";"19";"1.4";NA;NA;NA;NA;NA
"1996-05-13";"29.4";"15";"0.8";NA;NA;NA;NA;NA
"1996-05-20";"28.4";"22";"3.4";NA;NA;NA;NA;NA
"1996-05-29";NA;"22";NA;NA;NA;NA;NA;NA
"1996-06-03";"28.1";"19.5";"42.5";NA;NA;NA;NA;NA
"1996-06-12";"27.5";"23";"9";NA;NA;NA;NA;NA
"1996-06-18";"28";"26";"3";NA;NA;NA;NA;NA
"1996-06-26";"31.8";"28";"1.5";NA;NA;NA;NA;NA
"1996-07-01";"30.7";"19.5";"2.5";NA;NA;NA;NA;NA
"1996-07-08";"28.5";"19";"3";NA;NA;NA;NA;NA
"1996-07-15";"28.2";"23";"1.5";NA;NA;NA;NA;NA
"1996-07-22";"28.2";"26.4";"2";NA;NA;NA;NA;NA
"1996-07-29";"28.7";"26";"1.4";NA;NA;NA;NA;NA
"1996-08-05";"30.3";"23";"4.6";NA;NA;NA;NA;NA
"1996-08-12";"30.8";"25";"1.5";NA;NA;NA;NA;NA
"1996-08-20";"32.6";"22";"1.6";NA;NA;NA;NA;NA
"1996-08-26";"32.1";NA;"1.5";NA;NA;NA;NA;NA
"1996-09-02";"33.5";"16";"5.5";NA;NA;NA;NA;NA
"1996-09-09";"32.7";"18";"1.3";NA;NA;NA;NA;NA
"1996-09-16";"32.6";"18.5";"3.5";NA;NA;NA;NA;NA
"1996-09-23";"30.7";"18";"11";NA;NA;NA;NA;NA
"1996-09-30";"33.1";"18";"1.5";NA;NA;NA;NA;NA
