"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1998-04-27";NA;NA;NA;NA;NA;NA;NA;3333;4666;NA;NA;100;NA;NA;NA;NA;NA;666;8000;NA;NA;NA;NA;769466;600;NA;NA;NA;NA;NA;6000;NA;NA;NA;NA;200;666;8900;NA;6200;NA;14666;NA;NA;100;NA;NA;NA;500;10000;28666;NA;NA;NA;21333;NA;NA;6099198
"1998-05-11";NA;NA;34966;NA;NA;NA;NA;9333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8666;NA;NA;NA;NA;1002666;1300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;1333;96399;NA;3333;NA;2000;NA;NA;NA;NA;NA;NA;900;12000;17999;NA;NA;NA;1333;NA;NA;13893999
"1998-05-28";NA;NA;399333;NA;NA;NA;NA;2000;96132;NA;NA;NA;NA;5333;NA;NA;NA;NA;16666;NA;NA;NA;NA;238665;5700;NA;NA;NA;NA;NA;10666;NA;NA;NA;NA;NA;NA;314666;NA;3333;NA;2666;NA;NA;2000;NA;NA;NA;300;36000;9999;NA;NA;NA;4666;200;NA;3701866
"1998-06-12";NA;NA;974000;NA;1333;NA;NA;14000;950266;NA;NA;100;NA;5333;NA;NA;NA;NA;7333;NA;NA;NA;NA;89332;NA;NA;NA;NA;NA;NA;8000;NA;NA;NA;7333;NA;2666;2595332;NA;21333;NA;3333;NA;NA;1733;NA;NA;NA;NA;2000;63999;NA;NA;NA;27333;1333;NA;5998
"1998-07-27";NA;NA;1222000;NA;NA;NA;NA;4666;221333;NA;NA;NA;NA;NA;NA;100;NA;NA;400;100;NA;NA;NA;33332;100;NA;NA;NA;NA;NA;1000;6000;NA;NA;NA;NA;NA;4666;NA;51333;NA;2900;4666;NA;100;NA;NA;200;300;NA;17333;NA;NA;NA;NA;NA;NA;2766
"1998-08-28";NA;NA;271333;NA;4666;NA;NA;NA;16666;NA;NA;NA;NA;NA;NA;NA;NA;100;800;NA;NA;NA;NA;22666;666;NA;NA;NA;NA;NA;NA;13333;NA;NA;14666;NA;1333;NA;NA;93333;NA;7333;NA;NA;NA;NA;NA;300;NA;NA;666;NA;NA;NA;700;NA;NA;666
"1998-09-18";NA;NA;112666;NA;3333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26666;NA;NA;NA;NA;666;NA;NA;NA;NA;NA;NA;NA;4000;NA;NA;2666;NA;666;1333;NA;46666;NA;18000;NA;NA;100;NA;NA;100;100;NA;NA;NA;NA;NA;2000;NA;NA;666
"1998-10-09";NA;NA;16000;NA;666;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;666;666;NA;38666;NA;54666;NA;NA;666;NA;NA;NA;NA;6666;3333;NA;NA;NA;NA;NA;NA;4666
"1998-11-20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1333;NA;NA;6000;NA;13333;NA;NA;666;NA;NA;NA;NA;NA;666;NA;NA;NA;400;NA;NA;100
"1998-12-08";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1333;NA;NA;NA;NA;NA;4666;NA;NA;NA;NA;NA;4866;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;666;666;NA;3933;NA;9333;10000;NA;100;NA;NA;NA;NA;NA;3333;NA;NA;NA;16666;6400;NA;3999
"1999-03-08";NA;NA;2000;NA;NA;NA;NA;NA;2666;NA;NA;100;NA;NA;NA;NA;NA;4666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;NA;NA;NA;NA;NA;100;NA;NA;89333;NA;28000;NA;NA;200;NA;NA;NA;NA;NA;2000;NA;4666;NA;25333;8000;NA;17332
"1999-03-19";NA;NA;109999;NA;NA;NA;NA;NA;5333;NA;NA;200;NA;NA;NA;NA;NA;4000;NA;NA;NA;NA;NA;2666;NA;NA;NA;NA;NA;NA;1800;NA;NA;NA;1333;NA;NA;2000;NA;62666;NA;2666;4200;NA;4000;NA;NA;NA;NA;NA;7333;NA;36666;NA;27333;14566;NA;20665
